world_rank,university_name,country,teaching,international outlook,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year,tuition_fee,median_salary
351-400,University of Houston,United States of America,34.9,33.9,26.5,52,42.3,,40325,43.7,0.09,50:50:00,2016,25410,46000
351-400,Instituto Superior Técnico Lisboa,Portugal,22.2,43.7,25,59.8,38.8,,11778,16.9,0.09,27 : 73,2016,,
351-400,University of Jyväskylä,Finland,28.2,47.1,25.5,55.5,34.2,,9703,15.2,0.05,62:38:00,2016,,
351-400,Loughborough University,United Kingdom,31.2,72.9,32.2,41.3,36.6,,13951,15.9,0.22,38 : 62,2016,26719.5,42300
351-400,University of Manitoba,Canada,27.1,57.8,26.9,49.7,41.8,,28576,27.8,0.11,55:45:00,2016,,
351-400,University of Missouri,United States of America,31.2,31,21,60.2,31.1,,29885,14.1,0.05,53:47:00,2016,25892,41400
351-400,University of Modena and Reggio Emilia,Italy,18.7,34.2,15.6,72.9,32.3,,19693,25.3,0.06,54:46:00,2016,,
351-400,University of Montana,United States of America,30.8,21.5,13.6,65.5,31,,12470,15.2,0.03,54:46:00,2016,24562,37300
351-400,"National University of Ireland, Maynooth",Republic of Ireland,24.6,75.6,22.8,50.2,36.6,,7653,28,0.11,55:45:00,2016,,
351-400,University of Nebraska Medical Center,United States of America,37,37.7,13.3,64.4,33.6,,2857,2.6,0.08,67:33:00,2016,,41500
351-400,University of New Mexico,United States of America,25.6,28.6,15.4,74.5,37,,,,,,2016,21302,41600
351-400,Norwegian University of Science and Technology,Norway,16.3,59.9,25.8,59.8,51.8,,17381,13.9,0.09,46:54:00,2016,,
351-400,University of Oulu,Finland,23.1,56.9,15.9,62.3,30.9,,14056,8.5,0.06,49:51:00,2016,,
351-400,Panthéon-Sorbonne University – Paris 1,France,53.2,47.6,47.6,6.8,28.3,,42215,34.3,0.2,59:41:00,2016,,
351-400,Polytechnic University of Turin,Italy,23.7,50.6,18.6,65.9,42.5,,27709,19.6,0.16,29 : 71,2016,,
351-400,University of Rome III,Italy,23.1,35.9,21,64.8,37.5,,36353,61.2,0.05,59:41:00,2016,,
351-400,San Diego State University,United States of America,20.3,25.9,27,62.7,29.3,,27420,31.7,0.05,57:43:00,2016,18244,46200
351-400,University of South Carolina,United States of America,31.1,24.5,21.5,58.7,30.3,,29336,16.3,0.01,55:45:00,2016,31282,40000
351-400,University of South Dakota,United States of America,29.3,17.1,12.1,70.4,28,,8003,17.1,0.02,61:39:00,2016,11688,40000
351-400,University of Stirling,United Kingdom,22.6,77.7,23.5,59.1,30.4,,7828,15.9,0.22,61:39:00,2016,,
351-400,Swansea University,United Kingdom,22.2,72.4,23.8,58.2,32.7,,12801,17.1,0.2,49:51:00,2016,,29610
351-400,University of Tartu,Estonia,23.8,46.1,22.8,64.2,31.5,,10269,13,0.03,66:34:00,2016,,
351-400,Temple University,United States of America,34,28.6,18.2,58.3,41.6,,33268,13.3,0.05,51:49:00,2016,25994,
351-400,University of Texas at San Antonio,United States of America,18.1,29.6,16.6,74.9,28.6,,27520,26.9,0.06,48:52:00,2016,33654,42500
351-400,UiT The Arctic University of Norway,Norway,26.5,66.1,18.7,58.8,36.8,,10398,12.2,0.1,60:40:00,2016,,
351-400,Université Libre de Bruxelles,Belgium,26.1,84.5,28.3,47.9,39.1,,23819,26.1,0.32,54:46:00,2016,,
351-400,Lille 2 University – Health and Law,France,15.1,39.4,9.5,81.7,31.5,,26894,38.5,0.08,58:42:00,2016,,
351-400,University College Cork,Republic of Ireland,28.6,75.5,23.8,48.4,47.1,,15805,22.3,0.15,55:45:00,2016,,
351-400,Verona University,Italy,23.6,38.3,13.1,76.1,36.6,,25250,19.7,0.07,65:35:00,2016,,
351-400,Washington State University,United States of America,29,39.6,28.2,49.6,57.1,,24550,18.3,0.07,50:50:00,2016,25673,45300
351-400,Wayne State University,United States of America,31.9,29.6,14.2,65.3,41.7,,23065,10.7,0.07,57:43:00,2016,,42800
401-500,American University,United States of America,42.2,28.9,16.5,41.1,35.9,,11604,12,0.12,60:40:00,2016,44853,45300
401-500,Aston University,United Kingdom,18.4,92.5,20.4,51.9,34.6,,,,,,2016,23758.5,39480
401-500,University of Aveiro,Portugal,24.8,45.9,26.5,43.6,40.1,,10791,17.8,0.1,51:49:00,2016,,
401-500,University of Bari Aldo Moro,Italy,28.7,31.7,21.6,48.8,45.4,,51560,65.1,0.02,65:35:00,2016,,
401-500,Bournemouth University,United Kingdom,32,70.6,12.6,35.2,28.8,,14907,25.9,0.18,53:47:00,2016,19035,31020
401-500,University of Brescia,Italy,15.6,36.6,14.8,72.3,35.8,,14076,25,0.07,48:52:00,2016,,
401-500,Brno University of Technology,Czech Republic,18,35.8,14.7,55.8,33.7,,23694,21.3,0.15,27 : 73,2016,,
401-500,Brunel University London,United Kingdom,24.8,91.8,23.3,39.5,34.7,,12613,17.6,0.38,46:54:00,2016,24252,33840
401-500,Ca’ Foscari University of Venice,Italy,23.9,38.1,27.8,48.9,32.3,,19267,38.3,0.07,66:34:00,2016,,
401-500,University of Cagliari,Italy,19.4,32.6,13.2,56.8,33.6,,30638,51,0.01,62:38:00,2016,,
401-500,Catholic University of the Sacred Heart,Italy,18.6,39,11.3,55.4,38.7,,30304,18.9,0.1,,2016,,
401-500,Charles University in Prague,Czech Republic,31.5,52.8,21.5,41,28.2,,51438,13,0.15,62:38:00,2016,,
401-500,City University London,United Kingdom,23.5,89.6,21.2,43.5,28.9,,13053,17.8,0.5,55:45:00,2016,20445,50760
401-500,Claude Bernard University Lyon 1,France,21.3,50.5,13.2,66.5,34.5,,35308,16.1,0.11,50:50:00,2016,,
